IDs,Repo,Pull Request,Organization,Primary Language,Root Cause,Manifestation,Category,Sub-Category,RAdd,REdit,RRemove,RAPI,w/o Tests,mergetime_minutes,num_commits,code_churn,files_changed,Pattern
1566,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4578,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,,,1,YES,12.05,1,27,4,NA
1567,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1733,facebook,JavaScript,Other,new feature,regex configuration entry,,1,,,,YES,3049.566667,3,58,7,NA
1571,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/2326,facebook,JavaScript,Regex,bad smells,code smells,unused/duplicated regex,,,1,,NO,61.08333333,1,24,3,4
1578,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/22,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,95.03333333,1,2,1,NA
1587,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4576,facebook,JavaScript,Regex,incorrect behavior,incorrect extraction,,2,1,2,1,YES,216.1666666,1,23,2,NA
1593,https://github.com/facebook/FAI-PEP,https://github.com/facebook/FAI-PEP/pull/4,facebook,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,2768.35,5,4,1,2
1595,https://github.com/facebook/chisel,https://github.com/facebook/chisel/pull/32,facebook,Python,API,bad smells,code smells,exception handling,,,,1,NO,3547.2,1,17,1,NA
1598,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1463,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,1,1,,,NO,12055.08333,1,25,4,NA
1598,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1463,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,,1,,,NO,12055.08333,1,25,4,NA
1599,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app/pull/5058,facebook,JavaScript,Other,new feature,regex configuration entry,,1,,,,NO,114.3333333,1,99,4,NA
1603,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/412,facebook,JavaScript,Regex,incorrect behavior,incorrect extraction,,,1,,,NO,793.4666666,1,3,1,NA
1605,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/1379,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,6089.116667,4,39,4,NA
1606,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/7029,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,,1,,,YES,132.0666667,1,6,2,NA
1608,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4558,facebook,JavaScript,Other,other failures,,,,1,,1,YES,24.61666667,1,56,3,NA
1610,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/5269,facebook,JavaScript,Regex,incorrect behavior,T1 & T2,,2,1,,,YES,802.5166666,1,260,5,NA
1614,https://github.com/facebook/react,https://github.com/facebook/react/pull/7497,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,6013.916667,1,88,22,2
1623,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/4686,facebook,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NA,197.7666667,1,2,1,NA
1624,https://github.com/facebook/prepack,https://github.com/facebook/prepack/pull/582,facebook,JavaScript,API,bad smells,design smells,alternative regex API,,,,1,YES,35.85,1,29,2,NA
1625,https://github.com/facebook/Docusaurus,https://github.com/facebook/Docusaurus/pull/799,facebook,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,1,3,,,YES,7055.283334,11,264,3,NA
1630,https://github.com/facebook/chisel,https://github.com/facebook/chisel/pull/99,facebook,Python,Regex,incorrect behavior,incorrect extraction,,,1,,,NO,150610.7834,1,2,1,NA
1632,https://github.com/facebook/jest,https://github.com/facebook/jest/pull/2852,facebook,JavaScript,Other,other failures,,,1,1,,,YES,885.1166667,3,24,3,NA
